ジャンル	タイトル	サブジャンル	公開年	ステータス	シーズン	エピソード	IMDBレーティング
アニメーション	Star Wars: The Clone Wars (season 6)	アニメーション	2014	終了	1	13	80
コメディ	Arrested Development (season 4)	コメディ	2013	リニューアル	1	15	89
コメディ	Russell Peters vs. the World	ドキュメント・シリーズ	2013	終了	1	4	60
コメディ	BoJack Horseman	アダルト・アニメ	2014	リニューアル	3	36	84
コメディ	Trailer Park Boys (seasons 8, 9, 10 and 11)	モキュメンタリー	2014	未定	4	40	85
コメディ	Unbreakable Kimmy Schmidt	コメディ	2015	未定	3	39	79
コメディ	Grace and Frankie	コメディ・ドラマ	2015	リニューアル	3	39	82
コメディ	Master of None	コメディ・ドラマ	2015	未定	2	20	83
コメディ	W/ Bob & David	スケッチ・コメディ	2015	終了	1	5	76
コメディ	Wet Hot American Summer: First Day of Camp	風刺コメディ	2015	NA	1	8	75
コメディ	F Is for Family	シットコム	2015	未定	2	16	79
コメディ	Love	ロマンティック・コメディ	2016	リニューアル	2	22	78
コメディ	Fuller House	シットコム	2016	リニューアル	2	26	71
コメディ	Flaked	コメディ	2016	未定	2	14	72
コメディ	Netflix Presents: The Characters	スケッチ・コメディ	2016	終了	1	8	53
コメディ	The Ranch	シットコム	2016	上映中	1	20	76
コメディ	Lady Dynamite	コメディ	2016	リニューアル	1	12	76
コメディ	Easy	ロマンティック・コメディ・アンソロジーシリーズ	2016	リニューアル	1	8	68
コメディ	Haters Back Off	コメディ	2016	リニューアル	1	8	62
コメディ	Trailer Park Boys Out of the Park: Europe	モキュメンタリー	2016	NA	1	8	72
コメディ	Lovesick (season 2)	コメディ	2016	リニューアル	1	8	81
コメディ	One Day at a Time	シットコム	2017	リニューアル	1	13	81
コメディ	Santa Clarita Diet	コメディ・ホラー	2017	リニューアル	1	10	77
コメディ	Mystery Science Theater 3000: The Return	コミックSF	2017	未定	1	14	86
コメディ	Girlboss	コメディ	2017	未定	1	13	72
コメディ	Dear White People	風刺・ドラマ	2017	未定	1	10	64
ドキュメンタリー	Chef's Table	調理法	2015	未定	3	18	87
ドキュメンタリー	Making a Murderer	犯罪ドラマ	2015	リニューアル	1	10	88
ドキュメンタリー	Chelsea Does	コメディ	2016	終了	1	4	75
ドキュメンタリー	Cooked	調理法	2016	終了	1	4	82
ドキュメンタリー	Last Chance U	スポーツ	2016	リニューアル	1	6	85
ドキュメンタリー	Fearless	スポーツ	2016	未定	1	6	0
ドキュメンタリー	Chef's Table: France	調理法	2016	未定	1	4	84
ドキュメンタリー	Roman Empire: Reign of Blood	歴史ドラマ	2016	未定	1	6	67
ドキュメンタリー	White Rabbit Project	科学調査	2016	未定	1	10	70
ドキュメンタリー	Captive	ドキュメンタリー	2016	未定	1	8	53
ドキュメンタリー	Abstract: The Art of Design	ドキュメンタリー	2017	未定	1	8	86
ドキュメンタリー	Five Came Back	ドキュメンタリー	2017	未定	1	3	86
ドキュメンタリー	Hot Girls Wanted: Turned On	ドキュメンタリー	2017	未定	1	6	69
