予算(百万ドル)	実質世界興行収入 (百万ドル)	ROI	ジャンル	タイトル
3.9	402	104.5	ドラマ	Gone with the Wind
237	2790	11.8	アクション	Avatar
200	2194	11	ドラマ	Titanic
11	776	70.5	アクション	Star Wars: Episode IV - A New Hope
356	2798	7.9	アクション	Avengers: Endgame
8.2	286	34.9	バイオグラフィー	The Sound of Music
10.5	793	75.5	家族	E.T. the Extra-Terrestrial
13	123	9.4	アドベンチャー	The Ten Commandments
11	245	22.3	ドラマ	Doctor Zhivago
258	2068	8	アクション	Star Wars: Episode VII - The Force Awakens
1.5	418	278.7	アニメーション	Snow White and the Seven Dwarfs
63	1032	16.4	アクション	Jurassic Park
9	471	52.4	アドベンチャー	Jaws
358	2048	5.7	アクション	Avengers: Infinity War
12	441	36.8	ホラー	The Exorcist
4	303	75.8	アニメーション	One Hundred and One Dalmatians
45	969	21.5	アニメーション	The Lion King
150	1670	11.1	アクション	Jurassic World
4	378	94.5	アニメーション	The Jungle Book
115	1027	8.9	アクション	Star Wars: Episode I - The Phantom Menace
15.2	147	9.7	アドベンチャー	Ben-Hur
220	1519	6.9	アクション	The Avengers
94	1142	12.2	アドベンチャー	The Lord of the Rings: The Return of the King
23	548	23.8	アクション	Star Wars: Episode V - The Empire Strikes Back
75	817	10.9	アクション	Independence Day
255	1657	6.5	アニメーション	The Lion King
190	1515	8	アクション	Furious 7
125	978	7.8	アドベンチャー	Harry Potter and the Sorcerer's Stone
2.9	264	90.9	アニメーション	Cinderella
175	1342	7.7	アドベンチャー	Harry Potter and the Deathly Hallows: Part 2
10	141	14.1	アクション	Thunderball
0.9	268	297.2	アニメーション	Bambi
225	1066	4.7	アクション	Pirates of the Caribbean: Dead Man's Chest
365	1403	3.8	アクション	Avengers: Age of Ultron
3.5	125	35.7	アクション	Goldfinger
6	397	66.2	ミュージカル	Grease
55	678	12.3	ドラマ	Forrest Gump
94	951	10.1	アドベンチャー	The Lord of the Rings: The Two Towers
93	888	9.5	アクション	The Lord of the Rings: The Fellowship of the Ring
150	1281	8.5	アニメーション	Frozen
150	1450	9.7	アニメーション	Frozen II
94	940	10	アニメーション	Finding Nemo
100	879	8.8	アドベンチャー	Harry Potter and the Chamber of Secrets
150	929	6.2	アニメーション	Shrek 2
200	1347	6.7	アクション	Black Panther
258.5	1333	5.2	アクション	Star Wars: Episode VIII - The Last Jedi
32.4	475	14.7	アクション	Star Wars: Episode VI - Return of the Jedi
200	1215	6.1	アクション	Iron Man 3
178.5	1308	7.3	アクション	Jurassic World: Fallen Kingdom
5.8	246	42.8	犯罪	The Godfather
