クラス	生き残り	氏名	性別	年齢グループ	年齢	兄弟姉妹・配偶者の同乗者数	親・子の同乗者数	チケット番号	運賃	運賃グループ	キャビン	乗船港	ボート	目的地
1	生き残った	Allen, Miss. Elisabeth Walton	女性	20 - 29	29	0	0	24160	211.3375	210	B5	サウサンプトン（イギリス）	2	St Louis, MO
1	生き残った	Allison, Master. Hudson Trevor	男性	0 - 9	0.9167	1	2	113781	151.5500	150	C22 C26	サウサンプトン（イギリス）	11	Montreal, PQ / Chesterville, ON
1	生き残れなかった	Allison, Miss. Helen Loraine	女性	0 - 9	2	1	2	113781	151.5500	150	C22 C26	サウサンプトン（イギリス）		Montreal, PQ / Chesterville, ON
1	生き残れなかった	Allison, Mr. Hudson Joshua Creighton	男性	30 - 39	30	1	2	113781	151.5500	150	C22 C26	サウサンプトン（イギリス）		Montreal, PQ / Chesterville, ON
1	生き残れなかった	Allison, Mrs. Hudson J C (Bessie Waldo Daniels)	女性	20 - 29	25	1	2	113781	151.5500	150	C22 C26	サウサンプトン（イギリス）		Montreal, PQ / Chesterville, ON
1	生き残った	Anderson, Mr. Harry	男性	40 - 49	48	0	0	19952	26.5500	30	E12	サウサンプトン（イギリス）	3	New York, NY
1	生き残った	Andrews, Miss. Kornelia Theodosia	女性	60 - 69	63	1	0	13502	77.9583	80	D7	サウサンプトン（イギリス）	10	Hudson, NY
1	生き残れなかった	Andrews, Mr. Thomas Jr	男性	30 - 39	39	0	0	112050	0.0000	0	A36	サウサンプトン（イギリス）		Belfast, NI
1	生き残った	Appleton, Mrs. Edward Dale (Charlotte Lamson)	女性	50 - 59	53	2	0	11769	51.4792	50	C101	サウサンプトン（イギリス）	D	Bayside, Queens, NY
1	生き残れなかった	Artagaveytia, Mr. Ramon	男性	70 - 79	71	0	0	PC 17609	49.5042	50		シェルブール（フランス）		Montevideo, Uruguay
1	生き残れなかった	Astor, Col. John Jacob	男性	40 - 49	47	1	0	PC 17757	227.5250	230	C62 C64	シェルブール（フランス）		New York, NY
1	生き残った	Astor, Mrs. John Jacob (Madeleine Talmadge Force)	女性	10 - 19	18	1	0	PC 17757	227.5250	230	C62 C64	シェルブール（フランス）	4	New York, NY
1	生き残った	Aubart, Mme. Leontine Pauline	女性	20 - 29	24	0	0	PC 17477	69.3000	70	B35	シェルブール（フランス）	9	Paris, France
